tumor_suppressor_genes,oncogenes,protein_kinases,cell_differentiation_markers,transcription_factors,cytokines_and_growth_factors
,cg01899001,cg18015026,cg20767910,cg11577355,cg11319719
,cg26847878,cg25588480,cg22719871,cg19071879,cg23181861
,cg23364287,cg20754979,cg14562054,cg04109781,cg05899727
,cg09695647,cg15207091,cg23220439,cg23118464,cg25506106
,cg08093226,cg11625476,cg14042308,cg13353679,cg21011830
,cg07854244,cg00663068,cg14391855,cg18233311,cg00575088
,cg07739959,cg17788994,cg14550985,cg22577081,cg17867417
,cg14753458,cg11965589,cg14263139,cg08780837,cg17933226
,cg21177463,cg03609292,cg05998426,cg19783675,cg10017118
,cg26292910,cg22110517,cg05049335,cg01422136,cg16701007
,cg15049549,cg04107707,cg17066238,cg16625170,cg21477717
,cg05378690,cg01545575,cg08931107,cg11208859,cg24065770
,cg16180552,cg18960307,cg16290520,cg15037445,cg23222039
,cg14923274,cg09188840,cg25635864,cg20734752,cg02674588
,cg11704396,cg20693880,cg12062782,cg26083389,cg01655355
,cg03547606,cg17255878,cg12068791,cg02082720,cg06697339
,cg04244987,cg02057148,cg12912663,cg04475193,cg26230674
,cg02145593,cg03648786,cg04808027,cg06638012,cg20557202
,cg22329233,cg23899285,cg07948432,cg13393914,cg24881657
,cg18849300,cg10448562,cg20749584,cg00931577,cg21522295
,cg16228589,cg02473715,cg07982833,cg13565585,cg10660916
,cg20370277,cg20935023,cg03517146,cg01907658,cg15427234
,cg10525567,cg14716933,cg18259535,cg04651658,cg11340363
,cg20715847,cg11741432,cg19090861,cg05506979,cg12122403
,cg13239227,cg17755564,cg16182743,cg27342251,cg22179256
,cg21175642,cg11477847,cg12782654,cg26090469,cg10359333
,cg10324902,cg19397489,cg00350296,cg17239008,cg07795307
,cg05518283,cg06580745,cg13383058,cg27353721,cg18610071
,cg10790778,cg11177833,cg07145284,cg07010337,cg06599169
,cg14494448,cg03704673,cg04702940,cg03250947,cg13970540
,cg11294835,cg17351882,cg13860849,cg07822788,cg06508005
,cg13482209,cg26097878,cg14027234,cg25317746,cg15640140
,cg09736162,cg13170005,cg05496363,cg05973262,cg07817505
,cg12091542,cg24182328,cg22213242,cg14700707,cg06216468
,cg10573386,cg14629755,cg11067179,cg09018483,cg16457436
,cg01851088,cg11032534,cg20367218,cg01978236,cg15819808
,cg17904852,cg24874612,cg05478809,cg11868595,cg16854013
,cg06621358,cg21898424,cg17351376,cg05996538,cg01402099
,cg10806820,cg08341874,cg10816169,cg07725183,cg04820362
,cg22702772,cg27453857,cg17564074,cg20877030,cg12511929
,cg02773588,cg26605335,cg08309706,cg15183440,cg13607082
,cg09447924,cg06419850,cg00893385,cg17982494,cg23253739
,cg04484520,cg25913172,cg20110765,cg25384949,cg19894262
,cg06518177,cg01437917,cg00548822,cg21597802,cg03454235
,cg26712159,cg06801163,cg09609418,cg16809040,cg23878205
,cg20031584,cg03914284,cg15945475,cg08130490,cg09368704
,cg04680193,cg04664342,cg11084508,cg16072814,cg24271203
,cg01607569,cg14208070,cg03450046,cg13096809,cg23748098
,cg19523099,cg01022250,cg13521124,cg09441030,cg08907525
,cg09397359,cg11482108,cg06818975,cg18192906,cg09750599
,cg08640901,cg23808301,cg08924469,cg16574906,cg09813341
,cg02222844,cg16835502,cg12607413,cg11842752,cg00184240
,cg02858118,cg13343565,cg21938894,cg12179641,cg23971362
,cg26386852,cg23956071,cg02010478,cg24697648,cg21176475
,cg26468478,cg11647651,cg11400333,cg20655068,cg26211360
,cg04035377,cg13148511,cg20211422,cg23602832,cg26953749
,cg01464738,cg16685860,cg11544692,cg08939974,cg09213964
,cg04399450,cg04209460,cg25787499,cg09198277,cg08120831
,cg02240013,cg09853822,cg25500727,cg13882824,cg04637506
,cg24608717,cg04521626,cg05322222,cg19256906,cg18454189
,cg08063452,cg04103918,cg26807590,cg21265210,cg13881299
,cg19830849,cg00971467,cg25129837,cg19155735,cg06654865
,cg05876340,cg04667919,cg05945622,cg21800193,cg15091123
,cg18855250,cg20966513,cg16145821,cg02127411,cg19535609
,cg05303842,cg17463508,cg02920148,cg27054610,cg11753688
,cg14012610,cg21336127,cg04525775,cg20044211,cg09736083
,cg17783031,cg24755266,cg17193163,cg18416871,cg06185423
,cg12412926,cg06695833,cg26811061,cg11981868,cg18795621
,cg14840664,cg00017441,cg12571847,cg24446242,cg02371192
,cg27099978,cg01224103,cg25212053,cg06535498,cg25574761
,cg07612497,cg07711954,cg14472806,cg01251971,cg27049761
,cg17393362,cg24195878,cg07605836,cg12670403,cg23445859
,cg06504063,cg26846786,cg08908247,cg19460293,cg11970289
,cg22225802,cg25974442,cg20316713,cg24349745,cg18552482
,cg20068074,cg14871628,cg17403830,cg00697559,cg06994572
,cg08844035,cg08320164,cg02283446,cg03626364,cg24900244
,cg13249096,cg00493341,cg10083593,cg07024453,cg17576580
,cg23189639,cg18335931,cg10336131,cg16002544,cg20232373
,cg19209507,cg02720566,cg06155341,cg09903849,cg24341177
,cg00496988,cg14317046,cg13781158,cg12172531,cg12812047
,cg08105844,cg26325791,cg18961230,cg02642841,cg03543403
,cg24569018,cg03594868,cg20382233,cg26793289,cg00106420
,cg16869281,cg02814054,cg09254047,cg09249446,cg14506192
,cg15140562,cg27299846,cg08986711,cg18607901,cg10802680
,cg24716709,cg08479717,cg27138195,cg09798996,cg14094409
,cg11540771,cg23349227,cg09947186,cg21462693,cg19529732
,cg10769017,cg09356124,cg17573068,cg27322595,cg11804414
,cg27421679,cg18310205,cg25789216,cg15318627,cg09123760
,cg13713989,cg24137511,cg19026260,cg21072248,cg13587802
,cg08210506,cg06706159,cg24484540,cg08135904,cg09736286
,cg12196847,cg17022038,cg19178040,cg01136185,cg09220639
,cg14373410,cg01395261,cg26842315,cg20440187,cg02516442
,cg18625627,cg03726312,cg08446989,cg01873637,cg12954334
,cg13525276,cg10256708,cg11056748,cg03145486,cg07208114
,cg10825315,cg09764440,cg00569953,cg20241876,cg08869118
,cg01682285,cg12540903,cg10730497,cg07637554,cg26166956
,cg09721659,cg14125250,cg19071367,cg18943331,cg27349244
,cg19563130,cg16572859,cg18736831,cg08117728,cg04739485
,cg16108059,cg15442610,cg04592747,cg02669888,cg22501243
,cg09076337,cg17663235,cg16309993,cg27366984,cg00454517
,cg21487950,cg05238087,cg17342184,cg12101615,cg23083936
,cg23234607,cg13542306,cg27286967,cg20988651,cg05360949
,cg07674153,cg11232793,cg22943108,cg07155553,cg01655341
,cg10335860,cg13179983,cg07629401,cg23846143,cg14530560
,cg25095848,cg24883498,cg09978545,cg23089723,cg24756902
,cg18165349,cg27648858,cg25360663,cg13089044,cg09979728
,cg26392005,cg24503449,cg21531702,cg24761212,cg06680921
,cg11057457,cg27287167,cg19731302,cg12966376,cg08300443
,cg12108273,cg12492496,cg11129796,cg10257092,cg08569414
,cg00941797,cg10188048,cg21971919,cg23367286,cg21675770
,cg16398882,cg05645812,cg16950941,cg24960639,cg10015142
,cg13506166,cg21501705,cg15165399,cg20027331,cg23325932
,cg06705591,cg03082924,cg01447322,cg18244508,cg26920057
,cg05016975,cg24171992,cg02410860,cg01175636,cg12955084
,cg25098068,cg14597723,cg04609045,cg15919612,cg25391752
,cg04349162,cg07993547,cg02520768,cg21993547,cg07663732
,cg25042860,cg16286597,cg02618579,cg22566787,cg08136809
,cg15378686,cg06905726,cg23034356,cg20671150,cg08676425
,cg05145423,cg07821574,cg21558323,cg22022067,cg12037898
,cg04009666,cg00411741,cg05214125,cg16642360,cg12946214
,cg08408874,cg04782470,cg02351179,cg27597473,cg17831002
,cg25283846,cg20631180,cg18046087,cg13336485,cg02625590
,cg20574153,cg08230215,cg14442997,cg14996490,cg21500909
,cg01261503,cg00686429,cg10498476,cg09702096,cg14081474
,cg20997028,cg10140613,cg01839297,cg16062253,cg12920798
,cg22507354,cg12123019,cg03128921,cg14614539,cg05214042
,cg14548777,cg01574571,cg18485444,cg20102694,cg04530860
,cg05368275,cg09577367,cg01259360,cg11408754,cg21873261
,cg21505571,cg11992736,cg01280128,cg23893346,cg10741443
,cg10244222,cg09365686,cg22066230,cg02090927,cg24067755
,cg16315992,cg11502673,cg19553869,cg13184019,cg24833335
,cg08350119,cg23505500,cg15201417,cg19448144,cg00598747
,cg23225508,cg25180603,cg25618573,cg18674460,cg21598517
,cg16203607,cg27308445,cg15299835,cg16599983,cg02750754
,cg23176436,cg07797882,cg22986178,cg14570531,cg25248346
,cg17829984,cg04305319,cg24781737,cg06863878,cg24712108
,cg07387199,cg16645033,cg06573253,cg11949420,cg26939377
,cg02363317,cg07275670,cg17421890,cg07516450,cg22621994
,cg09141038,cg14855378,cg20149625,cg11662340,cg23697081
,cg14644025,cg02276070,cg20808145,cg08291049,cg03152092
,cg01795697,cg16546703,cg12121587,cg26457116,cg25798605
,cg03045169,cg26292378,cg21825840,cg11731745,cg08477640
,cg09019432,cg26530201,cg00182294,cg05881416,cg25975823
,cg00003784,cg17953141,cg07611257,cg01108614,cg16883145
,cg14561881,cg25780607,cg11096108,cg20794512,cg20410381
,cg18009825,cg15101980,cg26455717,cg10716518,cg04547554
,cg06939235,cg12281328,cg04813719,cg12120947,cg05637188
,cg18349516,cg03405473,cg05149234,cg01054432,cg11714801
,cg17182808,cg10607557,cg26967875,cg11251925,cg13464744
,cg24878990,cg09001514,cg13306893,cg02902313,cg01107031
,cg00050289,cg10941067,cg22372505,cg11671335,cg00389176
,cg03478448,cg16633129,cg11696789,cg06849931,cg18236665
,cg02751693,cg06873106,cg02189000,cg24964350,cg03313751
,cg16343503,cg20873205,cg03493032,cg11748170,cg19580847
,cg17808849,cg02613713,cg09904907,cg13185046,cg21198010
,cg09067465,cg25652824,cg25736830,cg06891815,cg13342441
,cg01407900,cg01604883,cg10559585,cg08801479,cg15726807
,cg21682826,cg02260430,cg06387649,cg11025918,cg15735736
,cg04347867,cg25495951,cg04589156,cg16390049,cg27540367
,cg05953549,cg08631650,cg06545693,cg11884274,cg20748073
,cg01680667,cg15174248,cg18487246,cg06815976,cg03630756
,cg05062620,cg01804664,cg11911927,cg06023661,cg09926389
,cg27501612,cg10483275,cg18307333,cg12401918,cg11037750
,cg04170948,cg07622079,cg11653758,cg16513215,cg04614483
,cg03186069,cg01122167,cg05763263,cg18689504,cg01604411
,cg26916607,cg05004855,cg07850863,cg15147479,cg10170847
,cg03232842,cg01120953,cg18582997,cg19732154,cg03313447
,cg01706698,cg11800192,cg04687437,cg11747349,cg24369048
,cg26624021,cg11507187,cg10401489,cg26301953,cg26383537
,cg09889350,cg19769715,cg05017226,cg25336853,cg20264534
,cg12564453,cg12534645,cg25656098,cg21268163,cg00487780
,cg16660091,cg25507845,cg06595479,cg15815053,cg01294023
,cg02254551,cg03873049,cg21450784,cg26950898,cg20975318
,cg02751803,cg19513232,cg21177456,cg20229784,cg26792749
,cg04232615,cg08694107,cg00815658,cg08279886,cg15500117
,cg04784327,cg08173263,cg12285381,cg01912006,cg20301340
,cg04125710,cg23997402,cg16620809,cg10819756,cg01587095
,cg27612129,cg24530000,cg06486618,cg10430123,cg08398371
,cg08159663,cg00037314,cg13456654,cg02238556,cg05896295
,cg07839457,cg01574234,cg19206078,cg18176689,cg00781658
,cg16411857,cg22791904,cg24009067,cg07918390,cg10772923
,cg06862692,cg07571202,cg19907366,cg19527801,cg02646398
,cg06754565,cg18544450,cg27431859,cg09246347,cg24870050
,cg03056682,cg25726085,cg14423541,cg11753286,cg24899292
,cg00881185,cg21048262,cg15633375,cg06016354,cg26384602
,cg26963976,cg15417798,cg02020319,cg25050372,cg24027931
,cg02493440,cg14565903,cg12825431,cg01644684,cg25168700
,cg02169333,cg04416414,cg09870542,cg09756415,cg18502617
,cg08558449,cg27499361,cg08275585,cg04746303,cg09026379
,cg04097610,cg06716090,cg16620364,cg18337139,cg26207878
,cg05723552,cg06969527,cg17701921,cg19365884,cg23847700
,cg05517572,cg01545242,cg02884588,cg03547446,cg16978571
,cg01549069,cg07756148,cg15826542,cg05658046,cg19846387
,cg12229841,cg04984958,cg13426839,cg19558236,cg14437534
,cg15797834,cg00736283,cg11636177,cg02449678,cg04939630
,cg21347412,cg25274248,cg15124432,cg08592230,cg22747994
,cg02838499,cg26259181,cg02190636,cg13721764,cg10264188
,cg25631746,cg22472411,cg14957378,cg05982929,cg03784628
,cg12825836,cg18394090,cg26824508,cg21156577,cg13703584
,cg05890219,cg08248366,cg16987876,cg27338898,cg12929567
,cg02608596,cg06391548,cg18338021,cg24921484,cg10589249
,cg07635271,cg11609560,cg04396772,cg00652555,cg14576565
,cg02950840,cg08072992,cg06423211,cg05115308,cg10028227
,cg10799705,cg03856723,cg22603450,cg13377589,cg14673256
,cg23360117,cg17119568,cg05228110,cg24642916,cg09396196
,cg21911100,cg08499107,cg18043391,cg00595163,cg06129498
,cg22268467,cg12116020,cg01532103,cg04247024,cg01352108
,cg03736058,cg15814923,cg05622915,cg26791659,cg25881850
,cg14999934,cg19302295,cg25660646,cg24685167,cg22266877
,cg14040358,cg15844381,cg17522907,cg19154695,cg13412615
,cg08186575,cg02591871,cg07513435,cg04586403,cg08485565
,cg26930135,cg17818798,cg18341969,cg02264471,cg23100081
,cg24928938,cg04529602,cg22431486,cg20116128,cg04165881
,cg02329010,cg26487562,cg25243261,cg20808711,cg10856549
,cg07830557,cg19621460,cg21717879,cg18723553,cg23429680
,cg08418670,cg20110535,cg15456960,cg14044426,cg05171590
,cg14917846,cg19586199,cg06894251,cg02448597,cg25400358
,cg22305516,cg22857947,cg06546033,cg00569673,cg15417149
,cg25561291,cg01596520,cg25572267,cg23859630,cg26968245
,cg24906926,cg26613742,cg03233876,cg00442389,cg21923077
,cg25327247,cg25397191,cg23919549,cg19321684,cg15893430
,cg07731025,cg26670249,cg22913585,cg06194738,cg22841110
,cg01971089,cg09906922,cg04698845,cg19555708,cg06604670
,cg22943607,cg22601577,cg00752531,cg21386484,cg26468130
,cg24923526,cg05412414,cg05475770,cg16609995,cg23796481
,cg07783855,cg00034555,cg11427463,cg03280235,cg02228329
,cg24085258,cg17688733,cg08541599,cg17851795,cg00829944
,cg18804734,cg08806348,cg22842143,cg06431527,cg00925229
,cg03006338,cg27146808,cg06810134,cg14823076,cg16911342
,cg04346879,cg09425032,cg10362365,cg12332917,cg25163015
,cg23811775,cg02484774,cg26721694,cg08183114,cg04056144
,cg05297461,cg11352369,cg19651003,cg16768868,cg19421484
,cg09700233,cg10584766,cg26956799,cg26289450,cg16804848
,cg03741332,cg00561527,cg19551199,cg09784502,cg13221074
,cg06727521,cg02886079,cg22681344,cg22662036,cg10498429
,cg19682666,cg22658884,cg23919865,cg09028157,cg07588779
,cg03362751,cg06750579,cg16010433,cg17023707,cg13620770
,cg21934504,cg11893811,cg24158205,cg13910855,cg14391469
,cg24419436,cg24315586,cg01284619,cg13964363,cg23397278
,cg05421550,cg18530512,cg22948236,cg11103845,cg02792333
,cg18593654,cg11276506,cg06005396,cg01246676,cg08178356
,cg26569771,cg04664999,cg20463312,cg25978487,cg25069102
,cg21720385,cg08211801,cg09853898,cg03426888,cg26847805
,cg19820705,cg07759206,cg19043450,cg02681370,cg02617469
,cg03719555,cg01614597,cg06400446,cg08293075,cg26787449
,cg06513139,cg13629565,cg12186839,cg05525649,cg08515713
,cg00423487,cg14103106,cg23973576,cg04363228,cg15446238
,cg20086743,cg07273675,cg01203535,cg00869530,cg14570506
,cg20686347,cg18373961,cg02696685,cg20765522,cg05315670
,cg01403305,cg15739955,cg24872300,cg03422527,cg03399927
,cg22198449,cg06235973,cg06894204,cg18809947,cg27651452
,cg13934093,cg22924585,cg02468728,cg14635654,cg18375707
,cg16714048,cg16696856,cg17735531,cg20720326,cg19006947
,cg04458567,cg26742989,cg06597652,cg17874413,cg02693486
,cg23810114,cg12759215,cg06657917,cg05914981,cg24359671
,cg12937159,cg18831604,cg12159023,cg15226029,cg20817752
,cg24304518,cg25505785,cg13470125,cg20905680,cg12647801
,cg07122794,cg10754600,cg04875977,cg26626042,cg17155859
,cg19061982,cg21648202,cg19865472,cg18139800,cg03159156
,cg24007915,cg11437328,cg15726557,cg08328160,cg04085699
,cg17009717,cg06633013,cg04665930,cg10677959,cg19270469
,cg25123308,cg05555515,cg18378662,cg10996463,cg03972076
,cg00390596,cg18850089,cg17367901,cg26653489,cg02551234
,cg24740348,cg01336912,cg06169597,cg26505596,cg19915762
,cg09759994,cg00642306,cg12619876,cg11105830,cg01708648
,cg19895503,cg11894951,cg21947590,cg23177883,cg01793368
,cg11310125,cg08167808,cg02283353,cg08321684,cg04355871
,cg01217204,cg16508101,cg04091961,cg04933135,cg14483383
,cg10216105,cg14753070,cg03762393,cg27580693,cg09406795
,cg20401875,cg01378599,cg21988105,cg26492916,cg13493559
,cg00162206,cg06239593,cg21661344,cg26516499,cg24591182
,cg18442986,cg02335441,cg25631650,cg05436760,cg15540553
,cg26977769,cg08237663,cg17283268,cg01285072,cg14788049
,cg05027085,cg18255614,cg19441779,cg23027854,cg04569608
,cg00680014,cg22539279,cg13319278,cg24195524,cg07193511
,cg01405821,cg13485052,cg17913676,cg09615020,cg09587634
,cg10934807,cg25270252,cg22598233,cg26981651,cg07773434
,cg16858472,cg17326690,cg17299957,cg13126575,cg04057766
,cg22528076,cg17888249,cg10211518,cg18265845,cg24016056
,cg02182795,cg04534198,cg12184049,cg19007101,cg02967152
,cg11071231,cg21379800,cg23000464,cg10023837,cg16281248
,cg22682682,cg21818333,cg19463518,cg02973270,cg08015652
,cg07136641,cg01042637,cg17975976,cg27370696,cg10531864
,cg00597128,cg22162799,cg00891761,cg07482220,cg07475890
,cg14284907,cg27310031,cg03156769,cg06570818,cg19148251
,cg20909773,cg17174660,cg18697929,cg11995506,cg10468373
,cg16732939,cg05936004,cg01915895,cg24425483,cg18718657
,cg21448513,cg15253444,cg19128498,cg09043226,cg24069037
,cg09704885,cg12193237,cg01353608,cg11043450,cg15886632
,cg15456925,cg07676329,cg15175162,cg18928683,cg17175324
,cg14322403,cg00086346,cg02630888,cg25733934,cg18731789
,cg11952433,cg19698273,cg18334727,cg23464264,cg06615912
,cg11321895,cg01269576,cg21537729,cg08049198,cg10998122
,cg22146484,cg01567113,cg17468224,cg18191873,cg22074794
,cg13208732,cg06371014,cg09418519,cg15982308,cg21809711
,cg02389064,cg19244965,cg18873097,cg01466825,cg19924313
,cg26115370,cg20736028,cg11824985,cg14771938,cg04446112
,cg16858472,cg17340492,cg27110129,cg13763617,cg15010817
,cg22528076,cg03695693,cg16370446,cg02260340,cg03764062
,cg02182795,cg27303654,cg01884321,cg09301199,cg16977872
,cg11071231,cg11960711,cg16032428,cg08450897,cg12423493
,cg22682682,cg27601582,cg12373898,cg03718284,cg09854726
,cg07136641,cg10962535,cg05017990,cg24534346,cg02293991
,cg00597128,cg27536028,cg02353916,cg22673001,cg21684681
,cg14284907,cg08248181,cg18456933,cg01074928,cg05492845
,cg20909773,cg17657037,cg18101783,cg03237964,cg18908524
,cg16732939,cg23458186,cg06000781,cg01052103,cg03523550
,cg21448513,cg22048922,cg08218101,cg15124201,cg25547939
,cg09704885,cg23667541,cg02481294,cg26340737,cg11468835
,cg15456925,cg27469946,cg00731785,cg01719529,cg03845863
,cg14322403,cg24428653,cg13528854,cg17188367,cg22025816
,cg11952433,cg00283046,cg17924813,cg02525705,cg16855422
,cg11321895,cg18822363,cg08198265,cg18894276,cg27389549
,cg22146484,cg17130251,cg11843333,cg20980321,cg11424682
,cg13208732,cg10674611,cg23815673,cg17483959,cg07977178
,cg02389064,cg27001643,cg11843333,cg16193587,cg22652406
,cg26115370,cg21310017,cg23815673,cg16689962,cg04369964
,cg11554771,cg07926644,cg11516031,cg24828988,cg03236948
,cg17491697,cg13619768,cg10169812,cg03211473,cg01727686
,cg26912877,cg21025876,cg04332373,cg22261911,cg08155741
,cg03327263,cg02163486,cg04811945,cg22767321,cg15042460
,cg10829621,cg09263111,cg15786280,cg03573455,cg01783353
,cg04992704,cg20695368,cg02183671,cg16119812,cg15768270
,cg22699074,cg00804031,cg24819835,cg26185009,cg23943264
,cg19743103,cg22298500,cg26043257,cg24433302,cg19226866
,cg20157525,cg17655576,cg15994026,cg14739153,cg19465662
,cg00765655,cg19832952,cg23068731,cg09314258,cg26733140
,cg18564053,cg13750350,cg13440003,cg01589595,cg06947208
,cg00769305,cg02957150,cg11207385,cg05921820,cg19339056
,cg24463605,cg08108966,cg11553868,cg09597192,cg13208494
,cg24539779,cg13634151,cg12580743,cg02880898,cg06632528
,cg07605241,cg16142977,cg22163280,cg13071068,cg26145223
,cg22733648,cg11477110,cg16568256,cg26694990,cg01553981
,cg05347736,cg10761845,cg16987606,cg24671153,cg18156551
,cg01514415,cg26375259,cg20417953,cg04528352,cg06243084
,cg00883218,cg08523258,cg01750157,cg19730924,cg06219103
,cg23164855,cg17902989,cg22633590,cg17213381,cg20160996
,cg21413219,cg02612712,cg04657588,cg08542429,cg20162599
,cg15830682,cg27009828,cg07789083,cg10744196,cg06598256
,cg15341760,cg18064655,cg15437528,cg24594692,cg04000281
,cg06940574,cg09968765,cg15949830,cg14054649,cg15432711
,cg08851727,cg27200113,cg23679018,cg21297192,cg05267963
,cg11019172,cg18474153,cg11444135,cg18698459,cg26367444
,cg14089881,cg10340117,cg03236939,cg03516548,cg19357918
,cg27541349,cg10161194,cg10924077,cg12255062,cg03436149
,cg17992056,cg20738733,cg26588812,cg17284149,cg08148052
,cg15582719,cg08844770,cg12893736,cg01949684,cg05127380
,cg10118002,cg03692782,cg19212391,cg03234775,cg16734497
,cg17900884,cg08402734,cg16481791,cg16467507,cg18988094
,cg17145806,cg18305031,cg23986185,cg06686436,cg02149740
,cg11669397,cg14198860,cg15965578,cg08590186,cg18225595
,cg25194807,cg00769112,cg11963912,cg12719006,cg01962597
,cg12396368,cg25976451,cg25928447,cg13201995,cg19352801
,cg00518190,cg07663404,cg01571491,cg14750743,cg14654385
,cg05925365,cg17715482,cg08487100,cg05766136,cg22056218
,cg27056555,cg18789620,cg12776171,cg23228481,cg25338707
,cg04790574,cg11272616,cg21327194,cg23588029,cg12005186
,cg26907544,cg11218768,cg26663490,cg02090341,cg06385449
,cg14287788,cg27513213,cg04387597,cg25280041,cg09302355
,cg26611832,cg24204847,cg24211908,cg11773537,cg07682037
,cg01517656,cg12255298,cg14331822,cg04770218,cg16289449
,cg15687653,cg15513221,cg00227781,cg01488260,cg24088438
,cg02077561,cg16092645,cg08072465,cg00529757,cg01447914
,cg16359901,cg18707867,cg08046512,cg26785234,cg02556655
,cg25286333,cg00771170,cg08835847,cg11356887,cg13329217
,cg01373911,cg06807379,cg12056353,cg12827283,cg02113067
,cg15731815,cg16256106,cg08087047,cg08759957,cg24575128
,cg18235937,cg08294750,cg23443627,cg12305588,cg07386061
,cg00030047,cg13144588,cg24320673,cg06024540,cg21593670
,cg19694465,cg26585416,cg10953317,cg16006963,cg17895377
,cg27307298,cg03752885,cg12118246,cg07754347,cg09597496
,cg11764177,cg08224888,cg12331932,cg10262770,cg00727262
,cg16094412,cg14748455,cg05592035,cg26687830,cg01910272
,cg17515966,cg18748062,cg14181940,cg12508392,cg04453677
,cg12911256,cg03110167,cg14018141,cg16681436,cg16850945
,cg03716999,cg06647026,cg13698613,cg17208278,cg27024515
,cg03734402,cg00473257,cg07834069,cg08472222,cg24166628
,cg15584788,cg18226382,cg06407137,cg11108115,cg08485937
,cg19180828,cg24943002,cg14075731,cg03488588,cg26738080
,cg21211271,cg21887303,cg06650256,cg17527814,cg22118465
,cg16894819,cg18331165,cg00873351,cg05850971,cg12349422
,cg17153174,cg09590897,cg13930682,cg25263135,cg25134747
,cg13476932,cg18355533,cg26918792,cg24328676,cg07357683
,cg08107735,cg22771960,cg01840268,cg07608094,cg08448751
,cg26935168,cg09402652,cg22068371,cg21120698,cg27386912
,cg27527922,cg23953773,cg18807527,cg16468631,cg01113435
,cg14303330,cg06494105,cg15676542,cg12619728,cg17910586
,cg12967293,cg27028514,cg05172068,cg27230140,cg03550765
,cg16178974,cg19109007,cg16494590,cg10502563,cg11137980
,cg04025728,cg06539494,cg01269795,cg17184326,cg14478797
,cg25381775,cg05204981,cg12238593,cg00624949,cg11082447
,cg08541953,cg07790807,cg12537337,cg06307212,cg13288301
,cg21393421,cg04284660,cg03783907,cg13722708,cg24747396
,cg23323711,cg23837683,cg00939556,cg15874642,cg16841708
,cg17216583,cg20217938,cg13860387,cg00226265,cg12859382
,cg22174623,cg03283694,cg03553910,cg05970434,cg00794529
,cg06744003,cg22187733,cg00369351,cg07028241,cg24291822
,cg23730387,cg24311282,cg27318050,cg27401116,cg09096430
,cg10378348,cg20454486,cg01542644,cg06974409,cg10449522
,cg00532411,cg22801149,cg11239695,cg16282679,cg05442719
,cg17175208,cg01395690,cg17979445,cg02300308,cg11234564
,cg00282347,cg11918822,cg10780778,cg09042759,cg02503646
,cg08706545,cg18679732,cg23465465,cg19578751,cg25749966
,cg14995214,cg04708036,cg14345882,cg04294331,cg10956904
,cg24151926,cg17730841,cg02045355,cg18699916,cg05908979
,cg16519705,cg18756179,cg24347070,cg26215143,cg22753768
,cg08080029,cg22531183,cg08188271,cg13705888,cg16871520
,cg13851144,cg26715571,cg25881193,cg22101249,cg02520660
,cg15578645,cg20971220,cg23571456,cg10725623,cg03913989
,cg08899938,cg16349876,cg05676377,cg13836183,cg21746711
,cg04714195,cg27397787,cg21264972,cg14226867,cg07469753
,cg17479763,cg07655045,cg25146879,cg09441568,cg05654278
,cg24331282,cg26257814,cg20627971,cg04406941,cg20929811
,cg24886710,cg21634218,cg03292992,cg01138671,cg23333313
,cg27552584,cg26353468,cg02224369,cg14628354,cg01020694
,cg13940908,cg07141565,cg16568681,cg24535352,cg26435502
,cg01565985,cg13425960,cg24453664,cg01941814,cg12564913
,cg15672498,cg25533993,cg24871046,cg07665229,cg04400147
,cg03115470,cg25603409,cg19776272,cg07001421,cg26065870
,cg09271882,cg22511904,cg26271948,cg00686643,cg18283673
,cg22224462,cg26752701,cg23254918,cg15829057,cg21640566
,cg13223276,cg01879458,cg13241807,cg26412543,cg06222184
,cg17831269,cg17891715,cg27113480,cg08295094,cg25188828
,cg12276513,cg11846529,cg05004480,cg20771808,cg12809489
,cg04898695,cg13537276,cg20656116,cg20981412,cg01966117
,cg15991503,cg22238717,cg15892658,cg16101080,cg26862175
,cg05793604,cg02396668,cg03433612,cg12568595,cg01381934
,cg18391058,cg24484103,cg05344747,cg26567592,cg10061138
,cg19308227,cg07583667,cg09864245,cg08110052,cg21445366
,cg15727545,cg05563107,cg15382933,cg17383811,cg02792780
,cg11069824,cg21580058,cg07440264,cg04194294,cg11866943
,cg26796642,cg22600079,cg04188351,cg27631107,cg13421412
,cg15073708,cg08364607,cg08608126,cg23660356,cg15407570
,cg18283627,cg23357035,cg23903301,cg11122280,cg18075011
,cg02173128,cg18745670,cg16578387,cg06902929,cg06600200
,cg27312709,cg12313535,cg25080571,cg24509300,cg27565645
,cg21919596,cg09355652,cg02981489,cg04536704,cg14833160
,cg17133774,cg13117369,cg06355652,cg04856022,cg20095680
,cg20993163,cg19546372,cg01276497,cg00086577,cg05513979
,cg05591769,cg27147858,cg23397440,cg03995156,cg26527664
,cg20817257,cg22214498,cg18373944,cg27070869,cg00803419
,cg08848865,cg06943835,cg09148924,cg06832687,cg15951107
,cg11654006,cg23279496,cg04023915,cg04877280,cg13804854
,cg19319393,cg23266943,cg27294841,cg08814206,cg26673286
,cg05133314,cg06104877,cg09230905,cg24283914,cg10585180
,cg14566624,cg00376448,cg19252931,cg03010186,cg22237988
,cg04055049,cg00400165,cg21697812,cg10369585,cg25508545
,cg21932983,cg24154336,cg24521811,cg04528217,cg25754059
,cg02700833,cg13092487,cg19477674,cg26169408,cg03039974
