gene_id,mean,median,gene_name,chromosome_name,genomic_strand,TSS,split
ENSG00000069849,25.656605652173912,23.77055,ATP1B3,3,+,141876635,train
ENSG00000069869,4.287691739130435,4.1861,NEDD4,15,-,55993544,train
ENSG00000069943,3.8837956521739128,3.7897,PIGB,15,+,55319203,test
ENSG00000069956,13.208169130434785,12.0584,MAPK6,15,+,52019206,train
ENSG00000069966,1.4553943478260871,1.4047999999999998,GNB5,15,-,52179881,train
ENSG00000069974,12.533743478260872,11.6329,RAB27A,15,-,55289756,train
ENSG00000069998,5.012951304347825,4.525650000000001,HDHD5,22,-,17141843,train
ENSG00000070010,4.7151256521739136,4.4380500000000005,UFD1,22,-,19479172,train
ENSG00000070018,14.263481739130432,12.96485,LRP6,12,-,12266971,train
ENSG00000070019,1.0902421739130437,0.6172,GUCY2C,12,-,14696536,train
ENSG00000070031,0.7088313043478262,0.6103000000000001,SCT,11,-,627173,train
ENSG00000070047,10.446258695652174,9.9947,PHRF1,11,+,576457,valid
ENSG00000070061,4.381361739130435,4.26025,ELP1,9,-,108934113,train
ENSG00000070081,8.962106086956522,7.6913,NUCB2,11,+,17276750,train
ENSG00000070087,11.104667826086954,8.132449999999999,PFN2,3,-,149970868,train
ENSG00000070159,7.348741304347826,6.8681,PTPN3,9,-,109498251,train
ENSG00000070182,3.8955982608695647,1.30025,SPTB,14,-,64879899,train
ENSG00000070190,6.920143913043479,6.6829,DAPP1,4,+,99816797,train
ENSG00000070193,0.2136126086956521,0.1379,FGF10,5,-,44389407,train
ENSG00000070214,13.867924347826088,13.15905,SLC44A1,9,+,105244599,train
ENSG00000070269,4.57455652173913,4.281599999999999,TMEM260,14,+,56579826,train
ENSG00000070366,4.050828695652173,3.93345,SMG6,17,-,2303768,train
ENSG00000070367,8.804313043478261,8.264949999999999,EXOC5,14,-,57268810,train
ENSG00000070371,1.2960665217391305,1.1381,CLTCL1,22,-,19291678,test
ENSG00000070388,0.0640682608695652,0.0563,FGF22,19,+,639869,train
ENSG00000070404,11.705879565217394,9.05495,FSTL3,19,+,676385,train
ENSG00000070413,19.03916826086957,18.0148,DGCR2,22,-,19122388,train
ENSG00000070423,4.441068695652174,4.07985,RNF126,19,-,663171,train
ENSG00000070444,1.7049821739130435,1.6258,MNT,17,-,2401039,train
ENSG00000070476,8.143919565217391,7.982699999999999,ZXDC,3,-,126475864,train
ENSG00000070495,4.689423478260869,4.437749999999999,JMJD6,17,-,76726454,train
ENSG00000070501,7.059235652173912,6.1883,POLB,8,+,42338483,train
ENSG00000070526,18.32002913043478,15.5651,ST6GALNAC1,17,-,76643648,train
ENSG00000070540,9.815051304347826,9.4777,WIPI1,17,-,68457460,train
ENSG00000070601,0.1033073913043478,0.03245,FRMPD1,9,+,37650948,train
ENSG00000070610,13.189583913043478,12.8227,GBA2,9,-,35749165,train
ENSG00000070614,10.81008739130435,10.23825,NDST1,5,+,150485911,train
ENSG00000070669,0.6380617391304348,0.5844499999999999,ASNS,7,-,97872401,train
ENSG00000070718,6.117367391304349,5.8274,AP3M2,8,+,42153011,train
ENSG00000070729,0.4184234782608696,0.19185,CNGB1,16,-,57971088,train
ENSG00000070731,1.00733,0.8429,ST6GALNAC2,17,-,76585810,train
ENSG00000070748,0.3690808695652173,0.00795,CHAT,10,+,49614409,train
ENSG00000070756,84.94518739130436,70.1035,PABPC1,8,-,100722080,train
ENSG00000070759,1.7212726086956522,1.63125,TESK2,1,-,45491150,train
ENSG00000070761,8.180244347826088,7.8924,CFAP20,16,-,58115450,train
ENSG00000070770,3.5872173913043475,3.42935,CSNK2A2,16,-,58198060,test
ENSG00000070778,3.8218621739130434,3.7024,PTPN21,14,-,88554938,train
ENSG00000070785,6.923653913043478,6.62105,EIF2B3,1,-,44986568,valid
ENSG00000070808,0.152185652173913,0.12655,CAMK2A,5,-,150289764,train
ENSG00000070814,4.80395,4.5366,TCOF1,5,+,150357658,train
ENSG00000070831,19.00969,18.35,CDC42,1,+,22052686,train
ENSG00000070882,11.700480434782609,11.252,OSBPL3,7,-,24980147,test
ENSG00000070886,0.0236026086956521,0.0081999999999999,EPHA8,1,+,22563460,train
ENSG00000070915,0.1078117391304347,0.0754,SLC12A3,16,+,56865202,train
ENSG00000070950,3.7345613043478254,3.5068,RAD18,3,-,8963434,test
ENSG00000070961,12.149982608695652,10.73725,ATP2B1,12,-,89708817,train
ENSG00000070985,0.2262252173913043,0.06035,TRPM5,11,-,2423042,train
ENSG00000071051,9.74897043478261,9.2666,NCK2,2,+,105744876,train
ENSG00000071054,16.17105739130435,14.9293,MAP4K4,2,+,101697699,train
ENSG00000071073,12.65886347826087,11.4404,MGAT4A,2,-,98731065,train
ENSG00000071082,75.77366913043477,67.4918,RPL31,2,+,101002267,train
ENSG00000071127,35.55507173913043,33.51305,WDR1,4,-,10116724,train
ENSG00000071189,10.061560434782608,9.66375,SNX13,7,-,17940472,train
ENSG00000071203,0.0186221739130434,0.0,MS4A12,11,+,60492775,train
ENSG00000071205,4.258991739130435,3.9535,ARHGAP10,4,+,147732070,train
ENSG00000071242,13.817182173913045,12.78265,RPS6KA2,6,-,166627205,train
ENSG00000071243,3.5281456521739134,3.4964,ING3,7,+,120950768,train
ENSG00000071246,3.673464347826087,3.4254,VASH1,14,+,76761453,train
ENSG00000071282,4.923819565217392,4.7016,LMCD1,3,+,8501814,train
ENSG00000071462,5.970050869565217,5.7385,BUD23,7,+,73683597,train
ENSG00000071537,30.09148434782609,28.2589,SEL1L,14,-,81533796,test
ENSG00000071539,5.166726086956523,3.4116,TRIP13,5,+,892839,train
ENSG00000071553,20.817996956521736,19.8656,ATP6AP1,X,+,154428663,train
ENSG00000071564,7.265892608695652,6.6012,TCF3,19,-,1652576,valid
ENSG00000071575,10.919422608695651,9.6036,TRIB2,2,+,12716917,train
ENSG00000071626,8.343941304347826,8.17225,DAZAP1,19,+,1407518,train
ENSG00000071655,3.015608695652174,2.84075,MBD3,19,-,1592715,train
ENSG00000071677,0.0366730434782608,0.0,PRLH,2,+,237566574,train
ENSG00000071794,11.119089565217392,9.5768,HLTF,3,-,149086488,train
ENSG00000071859,21.065786956521737,19.13705,FAM50A,X,+,154444121,train
ENSG00000071889,6.200856956521738,5.452999999999999,FAM3A,X,-,154516183,train
ENSG00000071894,13.609394782608696,12.1442,CPSF1,8,-,144409282,train
ENSG00000071909,1.2575265217391305,0.4003,MYO3B,2,+,170178136,train
ENSG00000071967,34.05257391304348,30.18695,CYBRD1,2,+,171522466,train
ENSG00000071991,0.1338560869565217,0.0821,CDH19,18,-,66604079,train
ENSG00000071994,7.295313478260868,7.01635,PDCD2,6,-,170584584,train
ENSG00000072041,0.1638952173913043,0.0076,SLC6A15,12,-,84912715,train
ENSG00000072042,10.59311652173913,9.72915,RDH11,14,-,67695747,train
ENSG00000072062,2.699299130434783,2.5842,PRKACA,19,-,14117729,train
ENSG00000072080,0.8465173913043479,0.1101,SPP2,2,+,234050732,train
ENSG00000072110,16.806259565217392,15.89615,ACTN1,14,-,68979274,train
ENSG00000072121,7.035234347826087,6.91305,ZFYVE26,14,-,67816574,train
ENSG00000072133,1.1584273913043477,0.9369,RPS6KA6,X,-,84188148,train
ENSG00000072134,4.11903347826087,3.7898,EPN2,17,+,19237471,train
ENSG00000072135,10.078109130434784,9.2712,PTPN18,2,+,130372220,train
ENSG00000072163,0.8928017391304348,0.8109999999999999,LIMS2,2,-,127675065,train
ENSG00000072182,0.1255260869565217,0.07055,ASIC4,2,+,219514482,train
ENSG00000072195,0.6336752173913044,0.489,SPEG,2,+,219442030,train
ENSG00000072201,2.525573043478261,2.2346,LNX1,4,-,53558199,train
ENSG00000072210,14.197085652173914,10.9335,ALDH3A2,17,+,19648744,train
ENSG00000072274,35.60918869565217,29.7382,TFRC,3,-,196082081,train
ENSG00000072310,9.685873913043476,8.30125,SREBF1,17,-,17836973,train
ENSG00000072315,0.2436104347826086,0.172,TRPC5,X,-,112081979,train
ENSG00000072364,29.264424782608693,28.68595,AFF4,5,-,132963621,valid
ENSG00000072401,6.6258613043478265,6.3222000000000005,UBE2D1,10,+,58334998,train
ENSG00000072415,4.941880869565218,4.77715,PALS1,14,+,67241423,train
ENSG00000072422,8.697869130434784,7.58365,RHOBTB1,10,-,60944163,train
ENSG00000072501,13.198742608695651,12.20515,SMC1A,X,-,53422644,train
ENSG00000072506,32.78113913043478,31.3129,HSD17B10,X,-,53434358,train
ENSG00000072518,5.347947826086956,5.1403,MARK2,11,+,63839086,train
ENSG00000072571,3.5202839130434787,2.7078,HMMR,5,+,163460623,train
ENSG00000072609,2.716669565217392,2.62835,CHFR,12,-,132887565,train
ENSG00000072657,0.2232960869565217,0.115,TRHDE,12,+,72272360,train
ENSG00000072682,8.547039130434781,7.625500000000001,P4HA2,5,-,132227808,train
ENSG00000072694,3.2795565217391305,2.91245,FCGR2B,1,+,161663143,train
ENSG00000072736,6.619594347826086,6.248900000000001,NFATC3,16,+,68085421,train
ENSG00000072756,5.132215217391304,5.01125,TRNT1,3,+,3126930,train
ENSG00000072778,45.26592565217391,42.59345,ACADVL,17,+,7219888,valid
ENSG00000072786,6.633849565217392,6.3289,STK10,5,-,172188185,train
ENSG00000072803,21.758101304347825,20.155,FBXW11,5,-,172006575,test
ENSG00000072818,3.5929791304347822,3.108,ACAP1,17,+,7336502,train
ENSG00000072832,2.491498260869565,2.16915,CRMP1,4,-,5888418,train
ENSG00000072840,5.917458260869565,5.5045,EVC,4,+,5711171,train
ENSG00000072849,5.771329565217392,5.4925,DERL2,17,-,5486157,train
ENSG00000072858,4.488729565217391,3.9294,SIDT1,3,+,113532511,train
ENSG00000072864,3.5966565217391304,3.37085,NDE1,16,+,15650221,valid
ENSG00000072952,4.061553913043478,3.63845,IRAG1,11,-,10693622,train
ENSG00000072954,2.0164195652173915,1.6579,TMEM38A,19,+,16661125,train
ENSG00000072958,2.524413913043478,2.4902,AP1M1,19,+,16197900,train
ENSG00000073008,8.201114347826087,7.109999999999999,PVR,19,+,44643843,valid
ENSG00000073050,5.992445217391304,5.70515,XRCC1,19,-,43575459,train
ENSG00000073060,3.521065652173913,2.9628,SCARB1,12,-,124863853,train
ENSG00000073067,0.1974847826086956,0.1056999999999999,CYP2W1,7,+,983175,train
ENSG00000073111,7.72008347826087,5.9296500000000005,MCM2,3,+,127598400,train
ENSG00000073146,0.2684517391304348,0.19225,MOV10L1,22,+,50114481,train
ENSG00000073150,1.6764256521739134,1.2041499999999998,PANX2,22,+,50170247,train
ENSG00000073169,6.612456521739129,6.255,SELENOO,22,+,50201011,valid
ENSG00000073282,1.8842421739130435,0.72605,TP63,3,+,189789643,test
ENSG00000073331,6.573597391304348,6.3653,ALPK1,4,+,112297341,train
ENSG00000073350,14.46250391304348,13.20225,LLGL2,17,+,75525682,train
ENSG00000073417,9.161952173913043,8.43985,PDE8A,15,+,84981835,valid
ENSG00000073464,2.0328143478260867,1.93955,CLCN4,X,+,10158452,train
ENSG00000073536,3.210193043478261,2.93665,NLE1,17,-,35142280,valid
ENSG00000073578,2.632680869565217,2.4163,SDHA,5,+,218305,train
ENSG00000073584,1.9048952173913043,1.8814,SMARCE1,17,-,40647809,train
ENSG00000073598,0.0496686956521739,0.03965,FNDC8,17,+,35121609,train
ENSG00000073605,7.851690434782609,7.1155,GSDMB,17,-,39918606,test
ENSG00000073614,19.05068434782609,18.24565,KDM5A,12,-,389249,valid
ENSG00000073670,0.1952282608695652,0.1331999999999999,ADAM11,17,+,44758961,train
ENSG00000073711,7.943776521739131,7.345549999999999,PPP2R3A,3,+,135965718,valid
ENSG00000073712,9.207306956521736,8.75315,FERMT2,14,-,52951014,train
ENSG00000073734,0.0880552173913043,0.0466,ABCB11,2,-,169031317,test
ENSG00000073737,3.0283639130434783,1.87535,DHRS9,2,+,169069537,train
ENSG00000073754,0.2950182608695652,0.16875,CD5L,1,-,157841800,train
ENSG00000073756,27.84655086956522,11.9487,PTGS2,1,-,186680411,train
ENSG00000073792,5.636920434782609,3.3961,IGF2BP2,3,-,185824973,train
ENSG00000073803,7.464011739130435,7.21345,MAP3K13,3,+,185282947,train
ENSG00000073849,14.840845217391305,13.2183,ST6GAL1,3,+,186930518,train
ENSG00000073861,0.888317391304348,0.68145,TBX21,17,+,47733228,train
ENSG00000073910,5.506231304347826,4.986000000000001,FRY,13,+,32031706,valid
ENSG00000073921,47.69533391304348,47.06105,PICALM,11,-,86069044,valid
ENSG00000073969,11.595971739130432,11.3039,NSF,17,+,46726574,train
ENSG00000074047,0.7076826086956521,0.6291,GLI2,2,+,120735849,train
ENSG00000074054,14.23490304347826,13.9512,CLASP1,2,-,121649431,valid
ENSG00000074071,30.48818434782609,28.60055,MRPS34,16,-,1773113,train
ENSG00000074181,12.151939130434782,11.12345,NOTCH3,19,-,15200985,train
ENSG00000074201,16.78880913043478,15.031300000000002,CLNS1A,11,-,77637776,train
ENSG00000074211,0.6208013043478262,0.12915,PPP2R2C,4,-,6472585,test
ENSG00000074219,8.237300869565217,7.52515,TEAD2,19,-,49362389,train
ENSG00000074266,4.769024782608696,4.4849,EED,11,+,86244745,train
ENSG00000074276,0.5405052173913044,0.1805,CDHR2,5,+,176549323,train
ENSG00000074317,0.0396404347826086,0.01295,SNCB,5,-,176630517,train
ENSG00000074319,13.16091652173913,12.58505,TSG101,11,-,18526879,train
ENSG00000074356,5.574392173913044,5.157,NCBP3,17,-,3803382,train
ENSG00000074370,6.9265047826086965,5.33455,ATP2A3,17,-,3964428,train
ENSG00000074410,5.182373043478261,2.2323500000000003,CA12,15,-,63381838,train
ENSG00000074416,15.43636086956522,13.20375,MGLL,3,-,127823178,train
ENSG00000074527,16.499827826086957,13.6722,NTN4,12,-,95790755,train
ENSG00000074582,5.5656300000000005,5.32445,BCS1L,2,+,218659675,train
ENSG00000074590,6.640749999999999,6.01845,NUAK1,12,-,106138946,train
ENSG00000074603,7.95710652173913,7.7985,DPP8,15,-,65517653,train
ENSG00000074621,2.490086086956521,2.4054,SLC24A1,15,+,65611342,test
ENSG00000074657,10.465815652173912,9.9807,ZNF532,18,+,58864868,valid
ENSG00000074660,3.997077391304348,3.18885,SCARF1,17,-,1645717,train
ENSG00000074695,43.47014347826086,39.9473,LMAN1,18,-,59359245,train
ENSG00000074696,17.737430434782606,16.22215,HACD3,15,+,65530418,train
ENSG00000074706,2.318356956521739,1.6562,IPCEF1,6,-,154247630,train
ENSG00000074755,8.827067391304348,8.4414,ZZEF1,17,-,4142963,train
ENSG00000074771,0.0081260869565217,0.0,NOX3,6,-,155455832,train
ENSG00000074800,256.83636739130435,244.22755,ENO1,1,-,8878677,train
ENSG00000074803,0.101645652173913,0.0545999999999999,SLC12A1,15,+,48206283,train
ENSG00000074842,29.6358647826087,27.7089,MYDGF,19,-,4664906,train
ENSG00000074855,3.314428695652174,3.1111,ANO8,19,-,17334732,train
ENSG00000074935,2.6359560869565217,2.57795,TUBE1,6,-,112087458,train
ENSG00000074964,6.235225217391304,6.11045,ARHGEF10L,1,+,17539677,train
ENSG00000074966,2.047442608695652,1.7173500000000002,TXK,4,-,48134200,valid
ENSG00000075035,0.1299473913043478,0.0886,WSCD2,12,+,108129276,train
ENSG00000075043,0.0985686956521739,0.0062,KCNQ2,20,-,63472586,train
ENSG00000075073,0.4184678260869565,0.3092,TACR2,10,-,69409275,train
ENSG00000075089,5.407165652173912,5.07855,ACTR6,12,+,100200779,train
ENSG00000075131,2.409505652173913,2.11715,TIPIN,15,-,66356672,train
ENSG00000075142,13.060625652173917,11.6783,SRI,7,-,88220025,train
ENSG00000075151,14.658830869565218,14.31235,EIF4G3,1,-,21176844,train
ENSG00000075188,4.794469565217391,4.3031500000000005,NUP37,12,-,102120065,train
ENSG00000075213,5.325223478260869,2.96225,SEMA3A,7,-,84194781,train
ENSG00000075218,1.936949565217392,1.49525,GTSE1,22,+,46296850,train
ENSG00000075223,22.06185608695652,17.70365,SEMA3C,7,-,80919040,train
ENSG00000075234,7.367461739130436,6.80855,TTC38,22,+,46267998,train
ENSG00000075239,6.142822173913043,5.39985,ACAT1,11,+,108121557,train
ENSG00000075240,15.068797391304347,11.94285,GRAMD4,22,+,46577078,train
ENSG00000075275,10.750170434782609,9.4388,CELSR1,22,-,46537593,train
ENSG00000075290,0.3443469565217392,0.2756,WNT8B,10,+,100462994,train
ENSG00000075292,27.28315217391305,26.7804,ZNF638,2,+,71331752,train
ENSG00000075303,4.738627391304346,4.52605,SLC25A40,7,-,87876343,valid
ENSG00000075336,2.622065652173913,2.5352,TIMM21,18,+,74148508,train
ENSG00000075340,0.4299813043478261,0.27295,ADD2,2,-,70768175,train
ENSG00000075388,0.0057934782608695,0.0,FGF4,11,-,69775333,train
ENSG00000075391,6.798967391304349,6.2935,RASAL2,1,+,178094096,train
ENSG00000075399,3.4842430434782603,3.20895,VPS9D1,16,-,89710642,train
ENSG00000075407,4.328011304347826,4.17055,ZNF37A,10,+,38094327,train
ENSG00000075413,8.40394956521739,8.1188,MARK3,14,+,103385375,train
ENSG00000075415,28.16517434782609,26.8368,SLC25A3,12,+,98593680,train
ENSG00000075420,28.25640086956522,26.1584,FNDC3B,3,+,172039556,train
ENSG00000075426,30.34071260869565,26.71115,FOSL2,2,+,28392849,train
ENSG00000075429,0.045325652173913,0.0107,CACNG5,17,+,66835110,valid
ENSG00000075461,1.456816521739131,0.4971,CACNG4,17,+,66964694,train
ENSG00000075539,12.56771304347826,12.2594,FRYL,4,-,48780242,train
ENSG00000075568,10.06833260869565,9.80295,TMEM131,2,-,97995916,train
ENSG00000075618,12.321655652173911,8.3247,FSCN1,7,+,5592805,valid
ENSG00000075624,663.6529252173913,651.9899499999999,ACTB,7,-,5530598,train
ENSG00000075643,3.730440434782609,2.9985,MOCOS,18,+,36187510,train
ENSG00000075651,4.495304347826085,4.037850000000001,PLD1,3,-,171810437,train
ENSG00000075673,0.9636852173913044,0.1247,ATP12A,13,+,24680407,valid
ENSG00000075702,1.2329743478260868,1.0182,WDR62,19,+,36054879,train
ENSG00000075711,8.427930434782608,8.091899999999999,DLG1,3,-,197298578,train
ENSG00000075785,16.30787782608696,15.93175,RAB7A,3,+,128726151,train
ENSG00000075790,0.4854634782608695,0.45225,BCAP29,7,+,107580215,train
ENSG00000075826,1.7118599999999995,1.5558,SEC31B,10,-,100519829,train
ENSG00000075856,8.839612608695653,8.577100000000002,SART3,12,-,108561157,train
ENSG00000075884,4.526213043478261,3.9942,ARHGAP15,2,+,143129380,train
ENSG00000075886,0.9759073913043478,0.77885,TUBA3D,2,+,131476119,train
ENSG00000075891,0.0040378260869565,0.0,PAX2,10,+,100745570,train
ENSG00000075914,5.54569304347826,5.1776,EXOSC7,3,+,44976236,train
ENSG00000075945,10.494184782608697,10.23655,KIFAP3,1,-,170074568,train
ENSG00000075975,4.101859999999999,3.95865,MKRN2,3,+,12557064,test
ENSG00000076003,13.456208695652174,11.51195,MCM6,2,-,135876370,train
ENSG00000076043,8.649351304347826,8.2989,REXO2,11,+,114439442,train
ENSG00000076053,2.931193478260869,2.7883,RBM7,11,+,114400592,train
ENSG00000076067,10.70468652173913,9.95785,RBMS2,12,+,56521798,train
ENSG00000076108,13.802987826086955,13.3268,BAZ2A,12,-,56630291,train
ENSG00000076201,5.111154782608696,4.8611,PTPN23,3,+,47380995,train
ENSG00000076242,6.562676956521739,6.45885,MLH1,3,+,36993475,train
ENSG00000076248,11.423560869565216,9.6994,UNG,12,+,109097568,train
ENSG00000076258,3.897101739130435,3.4698,FMO4,1,+,171314172,train
ENSG00000076321,9.941568260869568,9.56055,KLHL20,1,+,173714908,train
ENSG00000076344,0.7216604347826087,0.46285,RGS11,16,-,275910,train
ENSG00000076351,1.2112895652173912,1.1404,SLC46A1,17,-,28406161,valid
ENSG00000076356,9.31195608695652,7.1866,PLXNA2,1,-,208244275,test
ENSG00000076382,6.600999565217392,5.47655,SPAG5,17,-,28598987,train
ENSG00000076513,13.976261304347826,13.14365,ANKRD13A,12,+,109999422,train
ENSG00000076554,7.505717826086956,6.6211,TPD52,8,-,80171496,train
ENSG00000076555,2.1640073913043483,2.0317,ACACB,12,+,109131350,train
ENSG00000076604,13.166630434782608,12.6049,TRAF4,17,+,28744002,train
ENSG00000076641,12.83963,11.37235,PAG1,8,-,81112055,train
ENSG00000076650,4.016501739130435,3.7304,GPATCH1,19,+,33081172,train
ENSG00000076662,0.9610821739130436,0.82225,ICAM3,19,-,10339611,train
ENSG00000076685,11.732421739130436,11.53435,NT5C2,10,-,103193252,train
ENSG00000076706,9.694551304347826,8.0669,MCAM,11,-,119317119,train
ENSG00000076716,16.009680869565216,13.5997,GPC4,X,-,133415478,train
ENSG00000076770,5.325365652173913,4.9825,MBNL3,X,-,132489016,train
ENSG00000076826,3.507961739130435,3.2992,CAMSAP3,19,+,7595830,train
ENSG00000076864,10.294531739130434,6.3483,RAP1GAP,1,-,21669312,train
ENSG00000076924,6.7160521739130425,6.5945,XAB2,19,-,7629531,train
ENSG00000076928,8.761533913043477,8.219100000000001,ARHGEF1,19,+,41883173,train
ENSG00000076944,3.320613043478261,3.21875,STXBP2,19,+,7637099,train
ENSG00000076984,2.8797052173913045,2.78775,MAP2K7,19,+,7903868,test
ENSG00000077009,0.0397478260869565,0.0248,NMRK2,19,+,3933069,train
ENSG00000077044,9.469557826086954,8.0798,DGKD,2,+,233354474,train
ENSG00000077063,0.9554691304347828,0.7168000000000001,CTTNBP2,7,-,117873420,train
ENSG00000077080,0.0873560869565217,0.0227,ACTL6B,7,-,100656370,test
ENSG00000077092,3.2558126086956523,2.88955,RARB,3,+,25428233,train
ENSG00000077097,36.8421704347826,36.12955,TOP2B,3,-,25638306,train
ENSG00000077147,42.143830869565214,39.06445,TM9SF3,10,-,96586975,train
ENSG00000077150,10.03185608695652,9.30525,NFKB2,10,+,102395698,train
ENSG00000077152,7.430554347826088,5.9884,UBE2T,1,-,202341926,test
ENSG00000077157,9.207829999999996,8.5124,PPP1R12B,1,+,202348687,train
ENSG00000077232,9.550720869565216,8.71285,DNAJC10,2,+,182716227,valid
ENSG00000077235,12.990920434782607,12.34145,GTF3C1,16,-,27549888,train
ENSG00000077238,18.983668260869567,18.4858,IL4R,16,+,27313881,train
ENSG00000077254,17.11267,16.58005,USP33,1,-,77759797,train
ENSG00000077264,1.7832108695652176,0.49475,PAK3,X,+,111096139,train
ENSG00000077274,0.8623717391304349,0.16025,CAPN6,X,-,111270475,train
ENSG00000077279,0.0699221739130434,0.0061,DCX,X,-,111412163,valid
ENSG00000077312,11.363260434782608,11.01325,SNRPA,19,+,40751179,train
ENSG00000077327,1.5356239130434783,0.8383499999999999,SPAG6,10,+,22345455,train
ENSG00000077348,7.564127826086957,6.4267,EXOSC5,19,-,41397329,train
ENSG00000077380,17.40304304347826,16.80625,DYNC1I2,2,+,171687720,train
ENSG00000077420,4.999140000000001,4.3774,APBB1IP,10,+,26438317,train
ENSG00000077454,1.895735217391304,1.7812,LRCH4,7,-,100586119,train
ENSG00000077458,4.743370869565218,4.5771,FAM76B,11,-,95789743,train
ENSG00000077463,3.2541352173913047,3.22715,SIRT6,19,-,4182540,train
ENSG00000077498,0.1080173913043478,0.0828,TYR,11,+,89177865,valid
ENSG00000077514,7.133223478260869,6.59155,POLD3,11,+,74592567,train
ENSG00000077522,0.2841343478260869,0.17905,ACTN2,1,+,236686491,train
ENSG00000077549,7.599653478260871,7.424300000000001,CAPZB,1,-,19485502,train
ENSG00000077585,10.901011304347827,10.82845,GPR137B,1,+,236142526,valid
ENSG00000077616,0.6351295652173912,0.5906,NAALAD2,11,+,90134635,train
ENSG00000077684,5.866727391304347,5.31515,JADE1,4,+,128811844,valid
ENSG00000077713,9.053723913043475,8.5456,SLC25A43,X,+,119399306,train
ENSG00000077721,10.47523652173913,9.78855,UBE2A,X,+,119574554,train
ENSG00000077782,4.223896521739131,3.39025,FGFR1,8,-,38468626,test
ENSG00000077800,0.0254969565217391,0.01845,FKBP6,7,+,73328175,train
ENSG00000077935,0.8500017391304349,0.3074,SMC1B,22,-,45413584,train
ENSG00000077942,13.322622608695651,11.66555,FBLN1,22,+,45502874,train
ENSG00000077943,5.440043478260869,4.4621,ITGA8,10,-,15719885,train
ENSG00000077984,10.168050869565215,7.52505,CST7,20,+,24949256,train
ENSG00000078018,5.503739565217392,3.1321,MAP2,2,+,209424036,valid
ENSG00000078043,3.4873395652173915,3.30265,PIAS2,18,-,46917432,train
ENSG00000078053,0.9441695652173911,0.4256,AMPH,7,-,38631357,train
ENSG00000078061,15.061735652173914,14.24055,ARAF,X,+,47561179,train
ENSG00000078070,13.570050869565218,11.49,MCCC1,3,-,183099509,train
ENSG00000078081,19.473065217391305,15.6327,LAMP3,3,-,183162726,train
ENSG00000078098,8.144185652173912,6.88955,FAP,2,-,162243375,train
ENSG00000078114,7.695339999999999,7.238799999999999,NEBL,10,-,21174069,train
ENSG00000078124,6.395077391304348,6.12035,ACER3,11,+,76860891,train
ENSG00000078140,15.95800260869565,14.7306,UBE2K,4,+,39698113,train
ENSG00000078142,4.866363913043478,4.6195,PIK3C3,18,+,41955187,train
ENSG00000078177,8.26477695652174,7.90775,N4BP2,4,+,40056791,test
ENSG00000078237,0.7753860869565218,0.7012,TIGAR,12,+,4307763,train
ENSG00000078246,8.724614347826089,8.0567,TULP3,12,+,2890871,train
ENSG00000078269,4.604422173913044,4.1370000000000005,SYNJ2,6,+,157981828,train
ENSG00000078295,0.1695034782608695,0.0821,ADCY2,5,+,7396028,train
ENSG00000078304,13.074839130434782,12.49355,PPP2R5C,14,+,101809872,train
ENSG00000078328,0.0927873913043478,0.01235,RBFOX1,16,+,6483728,train
ENSG00000078369,39.35932391304348,38.264700000000005,GNB1,1,-,1891056,train
ENSG00000078399,0.0919269565217391,0.0474,HOXA9,7,-,27165517,train
ENSG00000078401,12.35497304347826,10.42675,EDN1,6,+,12290353,train
ENSG00000078403,8.38064304347826,8.03615,MLLT10,10,+,21534199,train
ENSG00000078487,2.174762173913044,1.98025,ZCWPW1,7,-,100428657,train
ENSG00000078549,0.1852995652173913,0.1127,ADCYAP1R1,7,+,31052296,train
ENSG00000078579,0.3617473913043478,0.0588999999999999,FGF20,8,-,17002326,train
ENSG00000078589,3.3475513043478258,2.7176,P2RY10,X,+,78945360,train
ENSG00000078596,7.840123043478261,6.3799,ITM2A,X,-,79367308,train
ENSG00000078618,22.676064347826088,22.28645,NRDC,1,-,51789822,train
ENSG00000078668,22.641673043478256,20.9315,VDAC3,8,+,42391840,train
ENSG00000078674,27.192977826086956,24.6228,PCM1,8,+,17922974,train
ENSG00000078687,3.5101308695652174,3.29195,TNRC6C,17,+,78041000,train
ENSG00000078699,5.790913043478262,5.509,CBFA2T2,20,+,33490074,train
ENSG00000078725,3.316973913043478,0.4738,BRINP1,9,-,119208886,train
ENSG00000078747,16.35143434782609,15.80785,ITCH,20,+,34363264,train
ENSG00000078795,0.517721304347826,0.502,PKD2L2,5,+,137889451,train
ENSG00000078804,4.550069130434784,3.6872,TP53INP2,20,+,34704264,train
ENSG00000078808,18.58884956521739,17.4863,SDF4,1,-,1231966,train
ENSG00000078814,1.208601739130435,0.8834500000000001,MYH7B,20,+,34955803,train
ENSG00000078898,6.327578260869566,0.14335,BPIFB2,20,+,33007695,train
ENSG00000078900,0.6461565217391304,0.567,TP73,1,+,3652508,train
ENSG00000078902,5.684282173913043,5.37275,TOLLIP,11,-,1309604,train
ENSG00000078967,3.020516956521739,2.774,UBE2D4,7,+,43926419,train
ENSG00000079101,0.393815652173913,0.2569,CLUL1,18,+,596982,train
ENSG00000079102,1.5238030434782608,1.1525,RUNX1T1,8,-,92062575,train
ENSG00000079112,2.1256330434782607,0.35095,CDH17,8,-,94208547,train
